encoder,learner,scenario,metric,mean,sd,ci95,n
LSTM,IPPO,S6,depth,4.635579376150564,0.5414658228340984,"[4.248238060439103, 5.022920691862025]",10
LSTM,IPPO,S6,protected,0.3694246393856955,0.07284763179287362,"[0.3173125828990552, 0.4215366958723358]",10
Transformer,MAPPO,S6,dwell,9.661192052179876,1.530745215807516,"[8.566162890770414, 10.756221213589338]",10
Transformer,MAPPO,S6,depth,4.960059507593151,0.6350391184167247,"[4.505779888672224, 5.4143391265140774]",10
Transformer,MAPPO,S6,protected,0.43398373842998766,0.08058005594329211,"[0.37634023892745117, 0.49162723793252416]",10
GRU,MAPPO,S6,dwell,9.17069225629923,1.726675811495095,"[7.935502790173712, 10.405881722424748]",10
GRU,MAPPO,S6,depth,4.701218092872076,0.8381593168920217,"[4.1016350372297135, 5.300801148514439]",10
GRU,MAPPO,S6,protected,0.3851015229329203,0.11469390379739755,"[0.30305444677871696, 0.4671485990871237]",10
LSTM,MAPPO,S6,dwell,9.084143379421734,1.5126868314520154,"[8.002032407971653, 10.166254350871816]",10
LSTM,MAPPO,S6,depth,4.629505659491314,0.5945141096576113,"[4.204215885450741, 5.054795433531887]",10
LSTM,MAPPO,S6,protected,0.393837026834898,0.09292855694164802,"[0.32735994186480194, 0.4603141118049941]",10
NoHistory,IPPO,S6,dwell,6.404899029592879,1.5205649482020418,"[5.317152392919622, 7.492645666266135]",10
NoHistory,IPPO,S6,depth,3.8870993335511037,0.7537953885527106,"[3.3478665966610817, 4.426332070441125]",10
NoHistory,IPPO,S6,protected,0.31747863002152427,0.07786247061475404,"[0.261779173951322, 0.37317808609172654]",10
NoHistory,MAPPO,S6,dwell,6.272782407410759,0.6946472877176747,"[5.775861672928129, 6.769703141893388]",10
NoHistory,MAPPO,S6,depth,3.671592662675753,0.2650984654279885,"[3.481952644669616, 3.8612326806818897]",10
NoHistory,MAPPO,S6,protected,0.27601349209155257,0.06226932236448948,"[0.23146870230800146, 0.32055828187510366]",10
Transformer,IPPO,S7,dwell,5.277443112724154,0.5857954246962299,"[4.858390310181687, 5.696495915266621]",10
Transformer,IPPO,S7,depth,5.001285094810417,0.5331704116424509,"[4.619877958782768, 5.382692230838066]",10
Transformer,IPPO,S7,protected,0.36336824338582335,0.054529282596385224,"[0.3243603445028732, 0.4023761422687735]",10
GRU,IPPO,S7,dwell,5.239916328064282,0.30215873261744425,"[5.023764991987051, 5.456067664141514]",10
GRU,IPPO,S7,depth,4.960242120209193,0.2665575400421167,"[4.7695583431015125, 5.150925897316873]",10
GRU,IPPO,S7,protected,0.3977905319517654,0.047649781840344435,"[0.3637039314442794, 0.43187713245925136]",10
LSTM,IPPO,S7,dwell,5.094322256723759,0.48114455597574235,"[4.750132175836322, 5.438512337611195]",10
LSTM,IPPO,S7,depth,4.833065489149673,0.4216667002253111,"[4.531423303125635, 5.134707675173711]",10
LSTM,IPPO,S7,protected,0.38446678059703615,0.06807585519991222,"[0.33576824744991995, 0.43316531374415235]",10
Transformer,MAPPO,S7,dwell,5.50635074451493,0.528972272157608,"[5.127946776559991, 5.884754712469869]",10
Transformer,MAPPO,S7,depth,5.207960329975187,0.48783454954311867,"[4.858984515988428, 5.556936143961945]",10
Transformer,MAPPO,S7,protected,0.3851430353756772,0.05792257488320151,"[0.343707721421376, 0.42657834932997835]",10
GRU,MAPPO,S7,dwell,5.411925386561071,0.5378332972914128,"[5.027182623082686, 5.796668150039457]",10
GRU,MAPPO,S7,depth,5.129088972654776,0.49959484933258186,"[4.771700346997339, 5.486477598312212]",10
GRU,MAPPO,S7,protected,0.3771591819478976,0.05818732088121567,"[0.3355344801155889, 0.4187838837802063]",10
LSTM,MAPPO,S7,dwell,5.648843148856024,0.4452726348446802,"[5.330314294480128, 5.96737200323192]",10
LSTM,MAPPO,S7,depth,5.331576890721791,0.3869231496980029,"[5.054788743505403, 5.608365037938178]",10
LSTM,MAPPO,S7,protected,0.4059790846986394,0.044765596296055095,"[0.3739557062383616, 0.4380024631589172]",10
NoHistory,IPPO,S7,dwell,4.427390661098579,0.3080600088706704,"[4.207017806299561, 4.647763515897598]",10
NoHistory,IPPO,S7,depth,4.230549720269537,0.27456800443079565,"[4.034135602141384, 4.426963838397691]",10
NoHistory,IPPO,S7,protected,0.2849116194797512,0.03730835521070322,"[0.258222829929368, 0.31160040903013436]",10
NoHistory,MAPPO,S7,dwell,4.525226529651475,0.34809052546331315,"[4.276217568358336, 4.774235490944613]",10
NoHistory,MAPPO,S7,depth,4.336219499841973,0.31488338936062193,"[4.110965492687402, 4.561473506996544]",10
NoHistory,MAPPO,S7,protected,0.2829944673840813,0.04936196148551604,"[0.24768304734315943, 0.31830588742500315]",10
